fighter,fighter_url,record,nickname,height,weight,reach,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,raw_stats_json
JunYong Park,http://ufcstats.com/fighter-details/285ae0b4a68221f4,19-7-0,The Iron Turtle,"5' 10""",185 lbs.,"73""",Orthodox,"Feb 27, 1991",4.64,51%,3.82,,1.69,42%,54%,0.8,"{""Height"": ""5' 10\"""", ""Weight"": ""185 lbs."", ""Reach"": ""73\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Feb 27, 1991"", ""SLpM"": ""4.64"", ""Str. Acc."": ""51%"", ""SApM"": ""3.82"", ""Str. Def"": ""51%"", ""TD Avg."": ""1.69"", ""TD Acc."": ""42%"", ""TD Def."": ""54%"", ""Sub. Avg."": ""0.8""}"
Daria Zhelezniakova,http://ufcstats.com/fighter-details/07047eb7d17fb0a2,10-3-0,Iron Lady,"5' 9""",135 lbs.,"68""",Orthodox,"Jan 23, 1996",4.13,40%,3.38,,0.31,100%,50%,0.0,"{""Height"": ""5' 9\"""", ""Weight"": ""135 lbs."", ""Reach"": ""68\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jan 23, 1996"", ""SLpM"": ""4.13"", ""Str. Acc."": ""40%"", ""SApM"": ""3.38"", ""Str. Def"": ""64%"", ""TD Avg."": ""0.31"", ""TD Acc."": ""100%"", ""TD Def."": ""50%"", ""Sub. Avg."": ""0.0""}"
Tagir Ulanbekov,http://ufcstats.com/fighter-details/f00ac08ab056af5d,17-3-0,,"5' 7""",125 lbs.,"70""",Southpaw,"Aug 07, 1991",3.01,48%,3.44,,2.73,39%,63%,1.5,"{""Height"": ""5' 7\"""", ""Weight"": ""125 lbs."", ""Reach"": ""70\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Aug 07, 1991"", ""SLpM"": ""3.01"", ""Str. Acc."": ""48%"", ""SApM"": ""3.44"", ""Str. Def"": ""50%"", ""TD Avg."": ""2.73"", ""TD Acc."": ""39%"", ""TD Def."": ""63%"", ""Sub. Avg."": ""1.5""}"
Mohammed Usman,http://ufcstats.com/fighter-details/da7f113b5ea39c43,12-4-0,The Motor,"6' 2""",239 lbs.,"79""",Orthodox,"Apr 01, 1989",3.85,39%,4.27,,0.56,14%,66%,0.0,"{""Height"": ""6' 2\"""", ""Weight"": ""239 lbs."", ""Reach"": ""79\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Apr 01, 1989"", ""SLpM"": ""3.85"", ""Str. Acc."": ""39%"", ""SApM"": ""4.27"", ""Str. Def"": ""51%"", ""TD Avg."": ""0.56"", ""TD Acc."": ""14%"", ""TD Def."": ""66%"", ""Sub. Avg."": ""0.0""}"
Kamaru Usman,http://ufcstats.com/fighter-details/f1b2aa7853d1ed6e,21-4-0,The Nigerian Nightmare,"6' 0""",185 lbs.,"76""",Switch,"May 11, 1987",4.16,51%,2.67,,2.79,44%,89%,0.1,"{""Height"": ""6' 0\"""", ""Weight"": ""185 lbs."", ""Reach"": ""76\"""", ""STANCE"": ""Switch"", ""DOB"": ""May 11, 1987"", ""SLpM"": ""4.16"", ""Str. Acc."": ""51%"", ""SApM"": ""2.67"", ""Str. Def"": ""55%"", ""TD Avg."": ""2.79"", ""TD Acc."": ""44%"", ""TD Def."": ""89%"", ""Sub. Avg."": ""0.1""}"
Rose Namajunas,http://ufcstats.com/fighter-details/47b63240018d5d86,15-8-0,Thug,"5' 5""",125 lbs.,"65""",Orthodox,"Jun 29, 1992",3.50,41%,3.38,,1.47,48%,62%,0.3,"{""Height"": ""5' 5\"""", ""Weight"": ""125 lbs."", ""Reach"": ""65\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jun 29, 1992"", ""SLpM"": ""3.50"", ""Str. Acc."": ""41%"", ""SApM"": ""3.38"", ""Str. Def"": ""63%"", ""TD Avg."": ""1.47"", ""TD Acc."": ""48%"", ""TD Def."": ""62%"", ""Sub. Avg."": ""0.3""}"
Paul Craig,http://ufcstats.com/fighter-details/eabf206b162b3b83,17-10-1 (1 NC),Bearjew,"6' 3""",205 lbs.,"76""",Orthodox,"Nov 27, 1987",2.50,45%,3.04,,1.43,18%,35%,1.3,"{""Height"": ""6' 3\"""", ""Weight"": ""205 lbs."", ""Reach"": ""76\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Nov 27, 1987"", ""SLpM"": ""2.50"", ""Str. Acc."": ""45%"", ""SApM"": ""3.04"", ""Str. Def"": ""43%"", ""TD Avg."": ""1.43"", ""TD Acc."": ""18%"", ""TD Def."": ""35%"", ""Sub. Avg."": ""1.3""}"
Malcolm Wellmaker,http://ufcstats.com/fighter-details/2e45d08b3f2f02c8,10-2-0,The Machine,"5' 10""",135 lbs.,"71""",Switch,"Jun 04, 1994",4.58,55%,4.23,,0.00,0%,46%,0.0,"{""Height"": ""5' 10\"""", ""Weight"": ""135 lbs."", ""Reach"": ""71\"""", ""STANCE"": ""Switch"", ""DOB"": ""Jun 04, 1994"", ""SLpM"": ""4.58"", ""Str. Acc."": ""55%"", ""SApM"": ""4.23"", ""Str. Def"": ""52%"", ""TD Avg."": ""0.00"", ""TD Acc."": ""0%"", ""TD Def."": ""46%"", ""Sub. Avg."": ""0.0""}"
Phil Rowe,http://ufcstats.com/fighter-details/8e382b585a92affe,11-7-0,The Fresh Prince,"6' 3""",170 lbs.,"80""",Orthodox,"Jul 18, 1990",3.51,49%,4.15,,0.46,36%,53%,0.2,"{""Height"": ""6' 3\"""", ""Weight"": ""170 lbs."", ""Reach"": ""80\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jul 18, 1990"", ""SLpM"": ""3.51"", ""Str. Acc."": ""49%"", ""SApM"": ""4.15"", ""Str. Def"": ""50%"", ""TD Avg."": ""0.46"", ""TD Acc."": ""36%"", ""TD Def."": ""53%"", ""Sub. Avg."": ""0.2""}"
Kayla Harrison,http://ufcstats.com/fighter-details/1af1170ed937cba7,19-1-0,,"5' 8""",135 lbs.,"66""",Southpaw,"Jul 02, 1990",4.29,62%,1.10,,2.84,37%,100%,0.9,"{""Height"": ""5' 8\"""", ""Weight"": ""135 lbs."", ""Reach"": ""66\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Jul 02, 1990"", ""SLpM"": ""4.29"", ""Str. Acc."": ""62%"", ""SApM"": ""1.10"", ""Str. Def"": ""66%"", ""TD Avg."": ""2.84"", ""TD Acc."": ""37%"", ""TD Def."": ""100%"", ""Sub. Avg."": ""0.9""}"
Andreas Gustafsson,http://ufcstats.com/fighter-details/2caf993f53541fa1,12-3-0,Bane,"6' 1""",170 lbs.,"73""",Orthodox,"Feb 20, 1991",5.82,71%,3.63,,6.19,58%,100%,0.0,"{""Height"": ""6' 1\"""", ""Weight"": ""170 lbs."", ""Reach"": ""73\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Feb 20, 1991"", ""SLpM"": ""5.82"", ""Str. Acc."": ""71%"", ""SApM"": ""3.63"", ""Str. Def"": ""45%"", ""TD Avg."": ""6.19"", ""TD Acc."": ""58%"", ""TD Def."": ""100%"", ""Sub. Avg."": ""0.0""}"
JooSang Yoo,http://ufcstats.com/fighter-details/a44020ea2e8cd026,9-1-0,Zombie Jr.,"5' 7""",145 lbs.,"71""",Orthodox,"Jan 21, 1994",6.36,58%,4.99,,0.00,0%,50%,0.0,"{""Height"": ""5' 7\"""", ""Weight"": ""145 lbs."", ""Reach"": ""71\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jan 21, 1994"", ""SLpM"": ""6.36"", ""Str. Acc."": ""58%"", ""SApM"": ""4.99"", ""Str. Def"": ""56%"", ""TD Avg."": ""0.00"", ""TD Acc."": ""0%"", ""TD Def."": ""50%"", ""Sub. Avg."": ""0.0""}"
MarQuel Mederos,http://ufcstats.com/fighter-details/e2be0c1a9b886d92,11-1-1,,"5' 10""",155 lbs.,"69""",Orthodox,"Nov 30, 1996",5.46,58%,4.58,,0.23,8%,82%,0.0,"{""Height"": ""5' 10\"""", ""Weight"": ""155 lbs."", ""Reach"": ""69\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Nov 30, 1996"", ""SLpM"": ""5.46"", ""Str. Acc."": ""58%"", ""SApM"": ""4.58"", ""Str. Def"": ""52%"", ""TD Avg."": ""0.23"", ""TD Acc."": ""8%"", ""TD Def."": ""82%"", ""Sub. Avg."": ""0.0""}"
Bolaji Oki,http://ufcstats.com/fighter-details/4bdedbdeedff7d1d,10-4-0,The Zulu Warrior,"5' 10""",155 lbs.,"73""",Orthodox,"Nov 15, 1995",6.42,45%,5.12,,1.02,57%,75%,0.0,"{""Height"": ""5' 10\"""", ""Weight"": ""155 lbs."", ""Reach"": ""73\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Nov 15, 1995"", ""SLpM"": ""6.42"", ""Str. Acc."": ""45%"", ""SApM"": ""5.12"", ""Str. Def"": ""61%"", ""TD Avg."": ""1.02"", ""TD Acc."": ""57%"", ""TD Def."": ""75%"", ""Sub. Avg."": ""0.0""}"
Gabe Green,http://ufcstats.com/fighter-details/5eb50529a8418b77,12-5-0,Gifted,"5' 10""",155 lbs.,"73""",Switch,"May 02, 1993",5.60,45%,6.19,,0.71,50%,50%,0.5,"{""Height"": ""5' 10\"""", ""Weight"": ""155 lbs."", ""Reach"": ""73\"""", ""STANCE"": ""Switch"", ""DOB"": ""May 02, 1993"", ""SLpM"": ""5.60"", ""Str. Acc."": ""45%"", ""SApM"": ""6.19"", ""Str. Def"": ""47%"", ""TD Avg."": ""0.71"", ""TD Acc."": ""50%"", ""TD Def."": ""50%"", ""Sub. Avg."": ""0.5""}"
Jared Gordon,http://ufcstats.com/fighter-details/7026eca45f65377b,21-9-0 (1 NC),Flash,"5' 9""",155 lbs.,"68""",Orthodox,"Sep 06, 1988",5.57,53%,4.11,,1.91,34%,60%,0.0,"{""Height"": ""5' 9\"""", ""Weight"": ""155 lbs."", ""Reach"": ""68\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Sep 06, 1988"", ""SLpM"": ""5.57"", ""Str. Acc."": ""53%"", ""SApM"": ""4.11"", ""Str. Def"": ""55%"", ""TD Avg."": ""1.91"", ""TD Acc."": ""34%"", ""TD Def."": ""60%"", ""Sub. Avg."": ""0.0""}"
HyunSung Park,http://ufcstats.com/fighter-details/b671bdf981ad527d,10-2-0,Peace of Mind,"5' 7""",125 lbs.,"66""",Orthodox,"Nov 04, 1995",3.38,41%,3.14,,1.50,31%,47%,1.8,"{""Height"": ""5' 7\"""", ""Weight"": ""125 lbs."", ""Reach"": ""66\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Nov 04, 1995"", ""SLpM"": ""3.38"", ""Str. Acc."": ""41%"", ""SApM"": ""3.14"", ""Str. Def"": ""55%"", ""TD Avg."": ""1.50"", ""TD Acc."": ""31%"", ""TD Def."": ""47%"", ""Sub. Avg."": ""1.8""}"
Tecia Pennington,http://ufcstats.com/fighter-details/31ef8b67e13495b3,15-8-0,Tiny Tornado,"5' 1""",115 lbs.,"60""",Orthodox,"Aug 16, 1989",4.73,48%,3.48,,0.56,14%,62%,0.1,"{""Height"": ""5' 1\"""", ""Weight"": ""115 lbs."", ""Reach"": ""60\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Aug 16, 1989"", ""SLpM"": ""4.73"", ""Str. Acc."": ""48%"", ""SApM"": ""3.48"", ""Str. Def"": ""61%"", ""TD Avg."": ""0.56"", ""TD Acc."": ""14%"", ""TD Def."": ""62%"", ""Sub. Avg."": ""0.1""}"
Jack Della Maddalena,http://ufcstats.com/fighter-details/6b453bc35a823c3f,18-4-0,,"5' 11""",170 lbs.,"73""",Switch,"Sep 10, 1996",5.32,51%,4.24,,0.34,20%,64%,0.1,"{""Height"": ""5' 11\"""", ""Weight"": ""170 lbs."", ""Reach"": ""73\"""", ""STANCE"": ""Switch"", ""DOB"": ""Sep 10, 1996"", ""SLpM"": ""5.32"", ""Str. Acc."": ""51%"", ""SApM"": ""4.24"", ""Str. Def"": ""61%"", ""TD Avg."": ""0.34"", ""TD Acc."": ""20%"", ""TD Def."": ""64%"", ""Sub. Avg."": ""0.1""}"
Marc-Andre Barriault,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,17-11-0 (1 NC),Powerbar,"6' 1""",185 lbs.,"74""",Orthodox,"Feb 18, 1990",5.65,47%,5.94,,0.34,28%,68%,0.1,"{""Height"": ""6' 1\"""", ""Weight"": ""185 lbs."", ""Reach"": ""74\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Feb 18, 1990"", ""SLpM"": ""5.65"", ""Str. Acc."": ""47%"", ""SApM"": ""5.94"", ""Str. Def"": ""49%"", ""TD Avg."": ""0.34"", ""TD Acc."": ""28%"", ""TD Def."": ""68%"", ""Sub. Avg."": ""0.1""}"
Bekzat Almakhan,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1,12-4-0,The Turan Warrior,"5' 7""",135 lbs.,"68""",Orthodox,"Oct 08, 1997",2.58,39%,4.23,,0.00,0%,59%,0.0,"{""Height"": ""5' 7\"""", ""Weight"": ""135 lbs."", ""Reach"": ""68\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Oct 08, 1997"", ""SLpM"": ""2.58"", ""Str. Acc."": ""39%"", ""SApM"": ""4.23"", ""Str. Def"": ""52%"", ""TD Avg."": ""0.00"", ""TD Acc."": ""0%"", ""TD Def."": ""59%"", ""Sub. Avg."": ""0.0""}"
Cory Sandhagen,http://ufcstats.com/fighter-details/65f09bacd3957381,18-6-0,,"5' 11""",135 lbs.,"70""",Switch,"Apr 20, 1992",4.86,45%,3.47,,1.15,34%,56%,0.2,"{""Height"": ""5' 11\"""", ""Weight"": ""135 lbs."", ""Reach"": ""70\"""", ""STANCE"": ""Switch"", ""DOB"": ""Apr 20, 1992"", ""SLpM"": ""4.86"", ""Str. Acc."": ""45%"", ""SApM"": ""3.47"", ""Str. Def"": ""56%"", ""TD Avg."": ""1.15"", ""TD Acc."": ""34%"", ""TD Def."": ""56%"", ""Sub. Avg."": ""0.2""}"
Montel Jackson,http://ufcstats.com/fighter-details/cc1a8b4b38b92c6d,15-4-0,Quik,"5' 10""",135 lbs.,"75""",Southpaw,"Apr 24, 1992",3.02,52%,1.40,,2.71,63%,67%,0.3,"{""Height"": ""5' 10\"""", ""Weight"": ""135 lbs."", ""Reach"": ""75\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Apr 24, 1992"", ""SLpM"": ""3.02"", ""Str. Acc."": ""52%"", ""SApM"": ""1.40"", ""Str. Def"": ""60%"", ""TD Avg."": ""2.71"", ""TD Acc."": ""63%"", ""TD Def."": ""67%"", ""Sub. Avg."": ""0.3""}"
Serhiy Sidey,http://ufcstats.com/fighter-details/1a2bf44edb8055b6,12-2-0,,"5' 11""",135 lbs.,"72""",Switch,"Jul 04, 1996",4.49,39%,4.26,,1.58,25%,20%,1.3,"{""Height"": ""5' 11\"""", ""Weight"": ""135 lbs."", ""Reach"": ""72\"""", ""STANCE"": ""Switch"", ""DOB"": ""Jul 04, 1996"", ""SLpM"": ""4.49"", ""Str. Acc."": ""39%"", ""SApM"": ""4.26"", ""Str. Def"": ""54%"", ""TD Avg."": ""1.58"", ""TD Acc."": ""25%"", ""TD Def."": ""20%"", ""Sub. Avg."": ""1.3""}"
Azamat Bekoev,http://ufcstats.com/fighter-details/3bc3f60b21cddc6a,20-5-0,Iron,"6' 0""",185 lbs.,"72""",Orthodox,"Dec 30, 1995",4.57,52%,6.83,,3.48,43%,62%,0.0,"{""Height"": ""6' 0\"""", ""Weight"": ""185 lbs."", ""Reach"": ""72\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Dec 30, 1995"", ""SLpM"": ""4.57"", ""Str. Acc."": ""52%"", ""SApM"": ""6.83"", ""Str. Def"": ""31%"", ""TD Avg."": ""3.48"", ""TD Acc."": ""43%"", ""TD Def."": ""62%"", ""Sub. Avg."": ""0.0""}"
Quang Le,http://ufcstats.com/fighter-details/32feae6d9a1e5047,9-3-0,Bang,"5' 7""",135 lbs.,"70""",Orthodox,"Oct 18, 1991",2.82,38%,4.59,,2.90,33%,100%,0.4,"{""Height"": ""5' 7\"""", ""Weight"": ""135 lbs."", ""Reach"": ""70\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Oct 18, 1991"", ""SLpM"": ""2.82"", ""Str. Acc."": ""38%"", ""SApM"": ""4.59"", ""Str. Def"": ""49%"", ""TD Avg."": ""2.90"", ""TD Acc."": ""33%"", ""TD Def."": ""100%"", ""Sub. Avg."": ""0.4""}"
Juliana Miller,http://ufcstats.com/fighter-details/aa0c573da7119292,5-4-0,Killer,"5' 7""",125 lbs.,"66""",Orthodox,"May 07, 1996",2.65,39%,4.14,,2.16,29%,44%,1.2,"{""Height"": ""5' 7\"""", ""Weight"": ""125 lbs."", ""Reach"": ""66\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""May 07, 1996"", ""SLpM"": ""2.65"", ""Str. Acc."": ""39%"", ""SApM"": ""4.14"", ""Str. Def"": ""44%"", ""TD Avg."": ""2.16"", ""TD Acc."": ""29%"", ""TD Def."": ""44%"", ""Sub. Avg."": ""1.2""}"
Zhang Mingyang,http://ufcstats.com/fighter-details/8a65fd9ba31fd3f7,19-8-0,Mountain Tiger,"6' 2""",205 lbs.,"75""",Orthodox,"Aug 16, 1998",7.01,58%,5.55,,0.00,0%,75%,0.0,"{""Height"": ""6' 2\"""", ""Weight"": ""205 lbs."", ""Reach"": ""75\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Aug 16, 1998"", ""SLpM"": ""7.01"", ""Str. Acc."": ""58%"", ""SApM"": ""5.55"", ""Str. Def"": ""43%"", ""TD Avg."": ""0.00"", ""TD Acc."": ""0%"", ""TD Def."": ""75%"", ""Sub. Avg."": ""0.0""}"
David Onama,http://ufcstats.com/fighter-details/ffe9703408fb5964,14-3-0,,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 07, 1994",5.07,50%,4.89,,1.05,30%,52%,0.5,"{""Height"": ""5' 11\"""", ""Weight"": ""145 lbs."", ""Reach"": ""74\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jun 07, 1994"", ""SLpM"": ""5.07"", ""Str. Acc."": ""50%"", ""SApM"": ""4.89"", ""Str. Def"": ""51%"", ""TD Avg."": ""1.05"", ""TD Acc."": ""30%"", ""TD Def."": ""52%"", ""Sub. Avg."": ""0.5""}"
Randy Brown,http://ufcstats.com/fighter-details/c6aee362c7a7d482,20-8-0,Rudeboy,"6' 3""",170 lbs.,"78""",Orthodox,"Jul 08, 1990",4.39,47%,3.35,,0.71,34%,74%,0.5,"{""Height"": ""6' 3\"""", ""Weight"": ""170 lbs."", ""Reach"": ""78\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jul 08, 1990"", ""SLpM"": ""4.39"", ""Str. Acc."": ""47%"", ""SApM"": ""3.35"", ""Str. Def"": ""53%"", ""TD Avg."": ""0.71"", ""TD Acc."": ""34%"", ""TD Def."": ""74%"", ""Sub. Avg."": ""0.5""}"
Matt Schnell,http://ufcstats.com/fighter-details/67c1d46f4ed16f9e,17-11-0 (1 NC),Danger,"5' 8""",125 lbs.,"70""",Orthodox,"Jan 15, 1990",4.05,40%,4.18,,0.59,45%,43%,1.2,"{""Height"": ""5' 8\"""", ""Weight"": ""125 lbs."", ""Reach"": ""70\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jan 15, 1990"", ""SLpM"": ""4.05"", ""Str. Acc."": ""40%"", ""SApM"": ""4.18"", ""Str. Def"": ""54%"", ""TD Avg."": ""0.59"", ""TD Acc."": ""45%"", ""TD Def."": ""43%"", ""Sub. Avg."": ""1.2""}"
Evan Elder,http://ufcstats.com/fighter-details/d9a56ecb6e94f02e,10-2-0,The Phenom,"5' 10""",155 lbs.,"72""",Switch,"Apr 11, 1997",5.66,50%,4.94,,0.48,15%,40%,0.5,"{""Height"": ""5' 10\"""", ""Weight"": ""155 lbs."", ""Reach"": ""72\"""", ""STANCE"": ""Switch"", ""DOB"": ""Apr 11, 1997"", ""SLpM"": ""5.66"", ""Str. Acc."": ""50%"", ""SApM"": ""4.94"", ""Str. Def"": ""57%"", ""TD Avg."": ""0.48"", ""TD Acc."": ""15%"", ""TD Def."": ""40%"", ""Sub. Avg."": ""0.5""}"
Chris Gutierrez,http://ufcstats.com/fighter-details/45f0cc9d18f35137,22-7-2,El Guapo,"5' 9""",135 lbs.,"67""",Orthodox,"Apr 22, 1991",4.40,57%,2.65,,0.30,30%,67%,0.1,"{""Height"": ""5' 9\"""", ""Weight"": ""135 lbs."", ""Reach"": ""67\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Apr 22, 1991"", ""SLpM"": ""4.40"", ""Str. Acc."": ""57%"", ""SApM"": ""2.65"", ""Str. Def"": ""63%"", ""TD Avg."": ""0.30"", ""TD Acc."": ""30%"", ""TD Def."": ""67%"", ""Sub. Avg."": ""0.1""}"
Da'Mon Blackshear,http://ufcstats.com/fighter-details/da22387a0407a2dc,17-8-1,The Monster,"5' 10""",135 lbs.,"72""",Switch,"Aug 12, 1994",4.33,45%,4.19,,1.48,33%,71%,1.5,"{""Height"": ""5' 10\"""", ""Weight"": ""135 lbs."", ""Reach"": ""72\"""", ""STANCE"": ""Switch"", ""DOB"": ""Aug 12, 1994"", ""SLpM"": ""4.33"", ""Str. Acc."": ""45%"", ""SApM"": ""4.19"", ""Str. Def"": ""52%"", ""TD Avg."": ""1.48"", ""TD Acc."": ""33%"", ""TD Def."": ""71%"", ""Sub. Avg."": ""1.5""}"
Paddy Pimblett,http://ufcstats.com/fighter-details/7826923b47f8d72a,23-4-0,The Baddy,"5' 10""",155 lbs.,"73""",Orthodox,"Jan 03, 1995",5.49,52%,3.89,,0.69,21%,44%,1.2,"{""Height"": ""5' 10\"""", ""Weight"": ""155 lbs."", ""Reach"": ""73\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jan 03, 1995"", ""SLpM"": ""5.49"", ""Str. Acc."": ""52%"", ""SApM"": ""3.89"", ""Str. Def"": ""42%"", ""TD Avg."": ""0.69"", ""TD Acc."": ""21%"", ""TD Def."": ""44%"", ""Sub. Avg."": ""1.2""}"
Yair Rodriguez,http://ufcstats.com/fighter-details/cbf5e6f231b55443,21-6-0 (1 NC),El Pantera,"5' 11""",145 lbs.,"71""",Orthodox,"Oct 06, 1992",4.65,46%,3.78,,0.71,29%,59%,0.6,"{""Height"": ""5' 11\"""", ""Weight"": ""145 lbs."", ""Reach"": ""71\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Oct 06, 1992"", ""SLpM"": ""4.65"", ""Str. Acc."": ""46%"", ""SApM"": ""3.78"", ""Str. Def"": ""52%"", ""TD Avg."": ""0.71"", ""TD Acc."": ""29%"", ""TD Def."": ""59%"", ""Sub. Avg."": ""0.6""}"
Dan Ige,http://ufcstats.com/fighter-details/82a5152216251682,19-11-0,100K,"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991",3.60,45%,3.56,,0.93,26%,56%,0.2,"{""Height"": ""5' 7\"""", ""Weight"": ""145 lbs."", ""Reach"": ""71\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Aug 06, 1991"", ""SLpM"": ""3.60"", ""Str. Acc."": ""45%"", ""SApM"": ""3.56"", ""Str. Def"": ""56%"", ""TD Avg."": ""0.93"", ""TD Acc."": ""26%"", ""TD Def."": ""56%"", ""Sub. Avg."": ""0.2""}"
Chase Hooper,http://ufcstats.com/fighter-details/971246648e162f0d,16-5-1,The Dream,"6' 1""",155 lbs.,"74""",Southpaw,"Sep 13, 1999",4.50,49%,3.02,,2.43,32%,55%,2.1,"{""Height"": ""6' 1\"""", ""Weight"": ""155 lbs."", ""Reach"": ""74\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Sep 13, 1999"", ""SLpM"": ""4.50"", ""Str. Acc."": ""49%"", ""SApM"": ""3.02"", ""Str. Def"": ""39%"", ""TD Avg."": ""2.43"", ""TD Acc."": ""32%"", ""TD Def."": ""55%"", ""Sub. Avg."": ""2.1""}"
Julian Erosa,http://ufcstats.com/fighter-details/902ec2cc48c8ae8a,31-14-0,Juicy J,"6' 1""",145 lbs.,"74""",Southpaw,"Jul 31, 1989",6.18,48%,6.31,,1.73,43%,61%,0.7,"{""Height"": ""6' 1\"""", ""Weight"": ""145 lbs."", ""Reach"": ""74\"""", ""STANCE"": ""Southpaw"", ""DOB"": ""Jul 31, 1989"", ""SLpM"": ""6.18"", ""Str. Acc."": ""48%"", ""SApM"": ""6.31"", ""Str. Def"": ""48%"", ""TD Avg."": ""1.73"", ""TD Acc."": ""43%"", ""TD Def."": ""61%"", ""Sub. Avg."": ""0.7""}"
Marco Tulio,http://ufcstats.com/fighter-details/9384e71bca6c409d,14-3-0,Matuto,"6' 0""",185 lbs.,"74""",Orthodox,"Jun 13, 1994",6.02,53%,2.97,,1.05,26%,0%,0.3,"{""Height"": ""6' 0\"""", ""Weight"": ""185 lbs."", ""Reach"": ""74\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Jun 13, 1994"", ""SLpM"": ""6.02"", ""Str. Acc."": ""53%"", ""SApM"": ""2.97"", ""Str. Def"": ""56%"", ""TD Avg."": ""1.05"", ""TD Acc."": ""26%"", ""TD Def."": ""0%"", ""Sub. Avg."": ""0.3""}"
Nora Cornolle,http://ufcstats.com/fighter-details/f2b3f4ef3f780168,9-4-0,,"5' 7""",135 lbs.,"67""",Orthodox,"Dec 06, 1989",2.73,55%,2.04,,0.22,11%,47%,0.2,"{""Height"": ""5' 7\"""", ""Weight"": ""135 lbs."", ""Reach"": ""67\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Dec 06, 1989"", ""SLpM"": ""2.73"", ""Str. Acc."": ""55%"", ""SApM"": ""2.04"", ""Str. Def"": ""56%"", ""TD Avg."": ""0.22"", ""TD Acc."": ""11%"", ""TD Def."": ""47%"", ""Sub. Avg."": ""0.2""}"
ChangHo Lee,http://ufcstats.com/fighter-details/117a06469813e4ef,11-2-0,,"5' 8""",135 lbs.,"69""",Orthodox,"May 09, 1994",3.88,66%,2.13,,3.20,34%,40%,0.3,"{""Height"": ""5' 8\"""", ""Weight"": ""135 lbs."", ""Reach"": ""69\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""May 09, 1994"", ""SLpM"": ""3.88"", ""Str. Acc."": ""66%"", ""SApM"": ""2.13"", ""Str. Def"": ""37%"", ""TD Avg."": ""3.20"", ""TD Acc."": ""34%"", ""TD Def."": ""40%"", ""Sub. Avg."": ""0.3""}"
Brad Tavares,http://ufcstats.com/fighter-details/0c6d9ea8306c029e,21-13-0,,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987",3.41,43%,3.32,,0.70,26%,80%,0.0,"{""Height"": ""6' 1\"""", ""Weight"": ""185 lbs."", ""Reach"": ""74\"""", ""STANCE"": ""Orthodox"", ""DOB"": ""Dec 21, 1987"", ""SLpM"": ""3.41"", ""Str. Acc."": ""43%"", ""SApM"": ""3.32"", ""Str. Def"": ""54%"", ""TD Avg."": ""0.70"", ""TD Acc."": ""26%"", ""TD Def."": ""80%"", ""Sub. Avg."": ""0.0""}"
