fighter,Height,Weight,Reach,STANCE,DOB
Khusein Askhabov,68,145.0,69,Orthodox,02/13/1995
Juancamilo Ronderos,63,125.0,64,Southpaw,02/17/1995
Don Shainis,66,145.0,67,Orthodox,09/16/1990
Zubaira Tukhugov,68,155.0,68,Orthodox,01/15/1991
SeungGuk Choi,66,125.0,64,Orthodox,12/26/1996
Glover Teixeira,74,205.0,76,Orthodox,10/28/1979
Mauricio Rua,73,205.0,76,Orthodox,11/25/1981
Mounir Lazzez,73,170.0,76,Orthodox,11/16/1987
Shamil Abdurakhimov,75,235.0,76,Orthodox,09/02/1981
Cheyanne Vlismas,63,115.0,63,Switch,06/25/1995
Saidyokub Kakhramonov,68,135.0,69,Orthodox,11/14/1995
